,PassengerId,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,passenger_group,passenger_number_in_group,total_luxury_amenities,deck,num,side,first name,last name,HomePlanet
10,0008_02,True,B/1/P,TRAPPIST-1e,34,False,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,8,2,0.0,B,1,P,Altardr,Flatic,Europa
11,0008_03,False,B/1/P,55 Cancri e,45,False,0.0,0.0,0.0,0.0,0.0,Wezena Flatic,True,8,3,8157.0,B,1,P,Wezena,Flatic,Europa
12,0009_01,False,F/1/P,TRAPPIST-1e,32,False,0.0,0.0,0.0,0.0,0.0,Berers Barne,True,9,1,1309.0,F,1,P,Berers,Barne,Mars
13,0010_01,False,G/1/S,TRAPPIST-1e,48,False,0.0,0.0,0.0,0.0,0.0,Reney Baketton,False,10,1,809.0,G,1,S,Reney,Baketton,Earth
14,0011_01,False,F/2/P,TRAPPIST-1e,28,False,0.0,0.0,0.0,0.0,0.0,Elle Bertsontry,True,11,1,1003.0,F,2,P,Elle,Bertsontry,Earth
15,0012_01,False,G/734/S,TRAPPIST-1e,31,False,0.0,0.0,0.0,0.0,0.0,Justie Pooles,False,12,1,908.0,G,734,S,Justie,Pooles,Earth
16,0014_01,False,F/3/P,55 Cancri e,27,False,0.0,0.0,0.0,0.0,0.0,Flats Eccle,False,14,1,1408.0,F,3,P,Flats,Eccle,Mars
17,0015_01,False,F/4/P,55 Cancri e,24,False,0.0,0.0,0.0,0.0,0.0,Carry Hughriend,False,15,1,638.0,F,4,P,Carry,Hughriend,Earth
18,0016_01,True,F/5/P,TRAPPIST-1e,45,False,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,16,1,0.0,F,5,P,Alus,Upead,Mars
19,0017_01,False,G/0/P,TRAPPIST-1e,0,False,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,17,1,0.0,G,0,P,Lyde,Brighttt,Earth
20,0017_02,False,F/6/P,55 Cancri e,14,False,0.0,0.0,0.0,0.0,0.0,Philda Brighttt,False,17,2,1092.0,F,6,P,Philda,Brighttt,Earth
21,0020_01,True,E/0/S,TRAPPIST-1e,1,False,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,20,1,0.0,E,0,S,Almary,Brantuarez,Earth
22,0020_02,True,E/0/S,55 Cancri e,49,False,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,20,2,0.0,E,0,S,Glendy,Brantuarez,Earth
23,0020_03,True,E/0/S,55 Cancri e,29,False,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,20,3,0.0,E,0,S,Mollen,Mcfaddennon,Earth
24,0020_04,False,E/0/S,TRAPPIST-1e,10,False,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,20,4,0.0,E,0,S,Breney,Jacostanley,Earth
25,0020_05,True,E/0/S,PSO J318.5-22,1,False,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,20,5,0.0,E,0,S,Mael,Brantuarez,Earth
26,0020_06,False,E/0/S,TRAPPIST-1e,7,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,20,6,0.0,E,0,S,Terta,Mcfaddennon,Earth
27,0022_01,False,D/0/P,TRAPPIST-1e,21,False,0.0,0.0,0.0,0.0,0.0,,False,22,1,1051.0,D,0,P,,,Mars
28,0024_01,True,C/2/S,TRAPPIST-1e,62,False,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,24,1,0.0,C,2,S,Penton,Fullided,Europa
29,0025_01,False,F/6/S,TRAPPIST-1e,15,False,0.0,0.0,0.0,0.0,0.0,Karard Brookenson,False,25,1,1223.0,F,6,S,Karard,Brookenson,Earth
30,0026_01,False,C/0/P,55 Cancri e,34,False,0.0,0.0,0.0,0.0,0.0,Anyoni Unconary,False,26,1,7861.0,C,0,P,Anyoni,Unconary,Europa
31,0028_01,False,F/8/P,TRAPPIST-1e,43,False,0.0,0.0,0.0,0.0,0.0,Ceros Mare,False,28,1,1309.0,F,8,P,Ceros,Mare,Mars
32,0030_01,False,G/4/S,TRAPPIST-1e,32,False,0.0,0.0,0.0,0.0,0.0,Ginia Morsentley,False,30,1,1821.0,G,4,S,Ginia,Morsentley,Earth
33,0031_01,False,F/9/P,TRAPPIST-1e,47,False,0.0,0.0,0.0,0.0,0.0,Coobix Datie,True,31,1,2854.0,F,9,P,Coobix,Datie,Mars
34,0031_02,False,F/9/P,TRAPPIST-1e,2,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,31,2,0.0,F,9,P,Cinets,Datie,Mars
35,0031_03,False,F/9/P,TRAPPIST-1e,20,False,0.0,0.0,0.0,0.0,0.0,Dontch Datie,True,31,3,2740.0,F,9,P,Dontch,Datie,Mars
36,0034_01,True,D/1/S,55 Cancri e,28,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,34,1,0.0,D,1,S,Ziba,Oingwhedly,Europa
37,0035_01,False,D/1/P,55 Cancri e,23,False,0.0,0.0,0.0,0.0,0.0,Luse Butte,False,35,1,2699.0,D,1,P,Luse,Butte,Mars
38,0036_01,False,F/8/S,55 Cancri e,15,False,0.0,0.0,0.0,0.0,0.0,Marina Leodger,False,36,1,961.0,F,8,S,Marina,Leodger,Earth
39,0038_01,False,F/10/S,55 Cancri e,20,False,0.0,0.0,0.0,0.0,0.0,Loise Wheelez,False,38,1,3355.0,F,10,S,Loise,Wheelez,Earth
40,0039_01,True,G/1/P,55 Cancri e,30,False,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,39,1,0.0,G,1,P,Jorgie,Batthewitt,Earth
41,0041_01,True,G/2/P,TRAPPIST-1e,17,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,41,1,0.0,G,2,P,Margia,Moodsey,Earth
42,0043_01,False,B/3/P,TRAPPIST-1e,45,False,0.0,0.0,0.0,0.0,0.0,Ankalik Cylistrand,False,43,1,3575.0,B,3,P,Ankalik,Cylistrand,Europa
43,0044_01,True,G/3/P,TRAPPIST-1e,55,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,44,1,0.0,G,3,P,Jodye,Coopelandez,Earth
44,0044_02,True,G/3/P,55 Cancri e,4,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,44,2,0.0,G,3,P,Kayne,Coopelandez,Earth
45,0044_03,True,G/3/P,PSO J318.5-22,21,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,44,3,0.0,G,3,P,Cassa,Coopelandez,Earth
46,0045_01,False,F/10/P,TRAPPIST-1e,21,False,0.0,0.0,0.0,0.0,0.0,Zelowl Chmad,False,45,1,1214.0,F,10,P,Zelowl,Chmad,Mars
47,0045_02,True,F/10/P,TRAPPIST-1e,19,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,45,2,0.0,F,10,P,Mass,Chmad,Mars
48,0050_01,False,E/1/S,55 Cancri e,35,False,0.0,0.0,0.0,0.0,0.0,Sony Lancis,False,50,1,790.0,E,1,S,Sony,Lancis,Earth
49,0051_01,False,E/2/S,TRAPPIST-1e,56,False,0.0,0.0,0.0,0.0,0.0,Vivia Johnshines,False,51,1,1618.0,E,2,S,Vivia,Johnshines,Earth
50,0052_01,False,G/6/S,TRAPPIST-1e,27,False,0.0,0.0,0.0,0.0,0.0,Elaney Hubbarton,False,52,1,4689.0,G,6,S,Elaney,Hubbarton,Earth
51,0053_01,False,F/11/S,TRAPPIST-1e,25,False,0.0,0.0,0.0,0.0,0.0,Elson Hickerson,True,53,1,1939.0,F,11,S,Elson,Hickerson,Earth
52,0056_01,False,A/1/S,TRAPPIST-1e,2,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,56,1,0.0,A,1,S,Okulas,Tractive,Europa
53,0056_02,True,A/1/S,TRAPPIST-1e,38,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,56,2,0.0,A,1,S,Instab,Tractive,Europa
54,0056_03,False,A/1/S,TRAPPIST-1e,27,False,0.0,0.0,0.0,0.0,0.0,Zinoces Tractive,True,56,3,4547.0,A,1,S,Zinoces,Tractive,Europa
55,0058_01,True,G/7/S,PSO J318.5-22,36,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,58,1,0.0,G,7,S,Warry,Ayalazquez,Earth
56,0061_01,False,F/12/S,TRAPPIST-1e,22,False,0.0,0.0,0.0,0.0,0.0,Shanya Salez,False,61,1,2667.0,F,12,S,Shanya,Salez,Earth
57,0062_01,False,F/13/S,TRAPPIST-1e,62,False,0.0,0.0,0.0,0.0,0.0,Sterry Greeves,False,62,1,634.0,F,13,S,Sterry,Greeves,Earth
58,0064_01,True,F/14/S,TRAPPIST-1e,15,False,0.0,0.0,0.0,0.0,0.0,,True,64,1,0.0,F,14,S,,,Mars
59,0064_02,True,E/3/S,TRAPPIST-1e,33,False,0.0,0.0,0.0,0.0,0.0,Colatz Keen,True,64,2,0.0,E,3,S,Colatz,Keen,Mars
60,0066_01,False,G/6/P,TRAPPIST-1e,62,False,0.0,0.0,0.0,0.0,0.0,Diandy Pecketton,False,66,1,811.0,G,6,P,Diandy,Pecketton,Earth
61,0067_01,True,G/10/S,PSO J318.5-22,0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,67,1,0.0,G,10,S,Ninaha,Leeves,Earth
62,0067_02,False,G/10/S,TRAPPIST-1e,18,False,0.0,0.0,0.0,0.0,0.0,Celine Leeves,True,67,2,705.0,G,10,S,Celine,Leeves,Earth
63,0067_03,False,F/15/S,55 Cancri e,21,False,0.0,0.0,0.0,0.0,0.0,Velyne Leeves,False,67,3,2007.0,F,15,S,Velyne,Leeves,Earth
64,0068_01,False,E/4/S,TRAPPIST-1e,27,False,0.0,0.0,0.0,0.0,0.0,Cinst Binie,False,68,1,1048.0,E,4,S,Cinst,Binie,Mars
65,0069_01,False,F/16/S,TRAPPIST-1e,42,False,0.0,0.0,0.0,0.0,0.0,,True,69,1,902.0,F,16,S,,,Earth
66,0070_01,False,F/13/P,TRAPPIST-1e,19,False,0.0,0.0,0.0,0.0,0.0,Meremy Brighttt,False,70,1,922.0,F,13,P,Meremy,Brighttt,Earth
67,0071_01,False,F/14/P,TRAPPIST-1e,17,False,0.0,0.0,0.0,0.0,0.0,Nelly Dillines,False,71,1,2233.0,F,14,P,Nelly,Dillines,Earth
68,0072_01,False,F/17/S,TRAPPIST-1e,14,False,0.0,0.0,0.0,0.0,0.0,Thell Brantuarez,False,72,1,1064.0,F,17,S,Thell,Brantuarez,Earth
69,0073_01,False,D/3/P,PSO J318.5-22,37,False,0.0,0.0,0.0,0.0,0.0,Gorn Make,False,73,1,879.0,D,3,P,Gorn,Make,Mars
70,0074_01,False,C/3/S,TRAPPIST-1e,42,False,0.0,0.0,0.0,0.0,0.0,Aldibah Mostedry,True,74,1,8904.0,C,3,S,Aldibah,Mostedry,Europa
71,0076_01,False,F/18/S,TRAPPIST-1e,27,False,0.0,0.0,0.0,0.0,0.0,Conk Dal,True,76,1,1165.0,F,18,S,Conk,Dal,Mars
72,0077_01,False,F/15/P,TRAPPIST-1e,28,False,0.0,0.0,0.0,0.0,0.0,Pon Blité,True,77,1,1309.0,F,15,P,Pon,Blité,Mars
73,0078_01,False,C/4/S,TRAPPIST-1e,38,False,0.0,0.0,0.0,0.0,0.0,Spuri Pokerheed,False,78,1,15815.0,C,4,S,Spuri,Pokerheed,Europa
74,0081_01,True,G/13/S,TRAPPIST-1e,13,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False,81,1,0.0,G,13,S,Dellie,Vinozarks,Earth
75,0082_01,False,F/16/P,TRAPPIST-1e,42,False,0.0,0.0,0.0,0.0,0.0,Totse Datte,False,82,1,7406.0,F,16,P,Totse,Datte,Mars
76,0082_02,True,F/16/P,TRAPPIST-1e,2,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,82,2,0.0,F,16,P,Eaturs,Datte,Mars
77,0082_03,False,F/16/P,TRAPPIST-1e,8,False,0.0,0.0,0.0,0.0,0.0,,True,82,3,0.0,F,16,P,,,Mars
78,0084_01,False,G/14/S,TRAPPIST-1e,24,False,0.0,0.0,0.0,0.0,0.0,Coren Coopezmaney,True,84,1,705.0,G,14,S,Coren,Coopezmaney,Earth
79,0085_01,True,C/5/S,TRAPPIST-1e,40,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True,85,1,0.0,C,5,S,Furudah,Ellcefulve,Europa
80,0086_01,False,F/17/P,TRAPPIST-1e,43,False,0.0,0.0,0.0,0.0,0.0,Jodye Kinson,False,86,1,1362.0,F,17,P,Jodye,Kinson,Earth
81,0088_01,True,E/5/S,PSO J318.5-22,45,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True,88,1,0.0,E,5,S,Stmeal,Sacre,Mars
82,0090_01,True,G/15/S,TRAPPIST-1e,35,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True,90,1,0.0,G,15,S,Heremy,Santry,Earth
83,0091_01,True,G/16/S,TRAPPIST-1e,26,False,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,True,91,1,0.0,G,16,S,Deanne,Yorkland,Earth
84,0091_02,False,F/20/S,TRAPPIST-1e,27,False,0.0,0.0,0.0,0.0,0.0,Tinez Yorkland,False,91,2,917.0,F,20,S,Tinez,Yorkland,Earth
85,0092_01,False,G/9/P,TRAPPIST-1e,19,False,0.0,0.0,0.0,0.0,0.0,Gracy Dunnisey,False,92,1,705.0,G,9,P,Gracy,Dunnisey,Earth
86,0092_02,True,G/9/P,TRAPPIST-1e,0,False,0.0,0.0,0.0,0.0,0.0,Stald Hewson,True,92,2,0.0,G,9,P,Stald,Hewson,Earth
87,0092_03,True,G/9/P,TRAPPIST-1e,3,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True,92,3,0.0,G,9,P,Tiney,Hewson,Earth
88,0097_01,False,A/2/S,TRAPPIST-1e,54,False,0.0,0.0,0.0,0.0,0.0,Alchium Fictful,False,97,1,1848.0,A,2,S,Alchium,Fictful,Europa
89,0098_01,False,G/11/P,TRAPPIST-1e,26,False,0.0,0.0,0.0,0.0,0.0,Doria Carezquez,False,98,1,893.0,G,11,P,Doria,Carezquez,Earth
90,0098_02,False,G/11/P,TRAPPIST-1e,26,False,0.0,0.0,0.0,0.0,0.0,Leence Carezquez,True,98,2,3855.0,G,11,P,Leence,Carezquez,Earth
91,0099_01,False,F/19/P,PSO J318.5-22,23,False,0.0,0.0,0.0,0.0,0.0,Aliey Leetersoney,False,99,1,1301.0,F,19,P,Aliey,Leetersoney,Earth
92,0099_02,False,G/12/P,TRAPPIST-1e,2,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True,99,2,0.0,G,12,P,Thewis,Connelson,Earth
93,0101_01,True,G/734/S,TRAPPIST-1e,31,False,0.0,0.0,0.0,0.0,0.0,Book Trad,True,101,1,0.0,G,734,S,Book,Trad,Mars
94,0102_01,False,F/23/S,TRAPPIST-1e,18,False,0.0,0.0,0.0,0.0,0.0,Ritany Holson,False,102,1,921.0,F,23,S,Ritany,Holson,Earth
95,0103_01,False,F/24/S,TRAPPIST-1e,24,False,0.0,0.0,0.0,0.0,0.0,Arlen Mclainez,True,103,1,17.0,F,24,S,Arlen,Mclainez,Earth
96,0103_02,True,G/18/S,55 Cancri e,9,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True,103,2,0.0,G,18,S,Shaele,Mclainez,Earth
97,0103_03,True,G/18/S,TRAPPIST-1e,6,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False,103,3,0.0,G,18,S,Fanne,Mclainez,Earth
98,0105_01,False,F/21/P,TRAPPIST-1e,27,False,0.0,0.0,0.0,0.0,0.0,Carry Cleachrand,False,105,1,703.0,F,21,P,Carry,Cleachrand,Earth
99,0107_01,False,D/2/S,TRAPPIST-1e,21,False,0.0,0.0,0.0,0.0,0.0,Coobix Hart,False,107,1,1765.0,D,2,S,Coobix,Hart,Mars
100,0108_01,True,G/19/S,TRAPPIST-1e,23,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False,108,1,0.0,G,19,S,Natald,Handertiz,Earth
101,0108_02,False,G/19/S,TRAPPIST-1e,31,False,0.0,0.0,0.0,0.0,0.0,,False,108,2,888.0,G,19,S,,,Earth
102,0108_03,False,G/19/S,TRAPPIST-1e,0,False,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True,108,3,0.0,G,19,S,Oline,Handertiz,Earth
103,0110_01,False,G/734/S,TRAPPIST-1e,32,False,0.0,0.0,0.0,0.0,0.0,Graviph Aloubtled,False,110,1,5109.0,G,734,S,Graviph,Aloubtled,Europa
104,0110_02,False,B/5/P,TRAPPIST-1e,40,False,0.0,0.0,0.0,0.0,0.0,Aldeba Bootious,False,110,2,2018.0,B,5,P,Aldeba,Bootious,Europa
105,0110_03,False,B/5/P,TRAPPIST-1e,42,False,0.0,0.0,0.0,0.0,0.0,Alaratz Aloubtled,True,110,3,15940.0,B,5,P,Alaratz,Aloubtled,Europa
106,0110_04,True,B/5/P,TRAPPIST-1e,28,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,110,4,0.0,B,5,P,Izark,Aloubtled,Europa
107,0111_01,True,E/6/S,TRAPPIST-1e,29,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True,111,1,0.0,E,6,S,Aldera,Supred,Europa
108,0112_01,False,B/1/S,55 Cancri e,48,True,0.0,0.0,0.0,0.0,0.0,Moth Cowtale,True,112,1,2654.0,B,1,S,Moth,Cowtale,Europa
109,0113_01,False,F/23/P,TRAPPIST-1e,64,False,0.0,0.0,0.0,0.0,0.0,Idary Carvis,True,113,1,804.0,F,23,P,Idary,Carvis,Earth
110,0114_01,False,G/20/S,TRAPPIST-1e,27,False,0.0,0.0,0.0,0.0,0.0,Maura Beckerson,False,114,1,907.0,G,20,S,Maura,Beckerson,Earth
111,0115_01,False,F/24/P,TRAPPIST-1e,26,False,0.0,0.0,0.0,0.0,0.0,Rohs Pead,True,115,1,0.0,F,24,P,Rohs,Pead,Mars
112,0116_01,False,D/4/P,TRAPPIST-1e,33,False,0.0,0.0,0.0,0.0,0.0,Alhenah Suptive,True,116,1,2640.0,D,4,P,Alhenah,Suptive,Europa
113,0119_01,False,A/0/P,TRAPPIST-1e,39,False,0.0,0.0,0.0,0.0,0.0,Batan Coning,False,119,1,9307.0,A,0,P,Batan,Coning,Europa
114,0119_02,True,A/0/P,TRAPPIST-1e,13,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,119,2,0.0,A,0,P,Kleeiak,Coning,Europa
115,0120_01,True,F/25/P,TRAPPIST-1e,24,False,0.0,0.0,0.0,0.0,0.0,Bees Sacre,True,120,1,0.0,F,25,P,Bees,Sacre,Mars
116,0122_01,False,G/21/S,TRAPPIST-1e,29,False,0.0,0.0,0.0,0.0,0.0,Shelle Hayder,False,122,1,773.0,G,21,S,Shelle,Hayder,Earth
117,0123_01,False,F/27/P,TRAPPIST-1e,18,False,0.0,0.0,0.0,0.0,0.0,Iree Fielson,False,123,1,702.0,F,27,P,Iree,Fielson,Earth
118,0126_01,True,F/27/S,TRAPPIST-1e,67,False,0.0,0.0,0.0,0.0,0.0,Milly Mish,True,126,1,0.0,F,27,S,Milly,Mish,Mars
119,0127_01,False,E/7/S,TRAPPIST-1e,35,False,0.0,0.0,0.0,0.0,0.0,Miloss Mesty,False,127,1,1022.0,E,7,S,Miloss,Mesty,Mars
120,0128_01,False,D/3/S,TRAPPIST-1e,61,True,0.0,0.0,0.0,0.0,0.0,Grohs Fles,False,128,1,3014.0,D,3,S,Grohs,Fles,Mars
121,0128_02,False,E/8/S,TRAPPIST-1e,45,False,0.0,0.0,0.0,0.0,0.0,Barave Fles,False,128,2,2109.0,E,8,S,Barave,Fles,Mars
122,0129_01,True,G/22/S,PSO J318.5-22,22,False,0.0,0.0,0.0,0.0,0.0,Race Fowles,True,129,1,0.0,G,22,S,Race,Fowles,Earth
123,0133_01,True,F/29/S,TRAPPIST-1e,19,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie,True,133,1,0.0,F,29,S,Flynx,Blie,Mars
124,0133_02,False,D/5/S,TRAPPIST-1e,36,False,0.0,0.0,0.0,0.0,0.0,Egrasp Blie,False,133,2,2738.0,D,5,S,Egrasp,Blie,Mars
125,0134_01,False,G/17/P,TRAPPIST-1e,19,False,0.0,0.0,0.0,0.0,0.0,Camina Harmontry,True,134,1,744.0,G,17,P,Camina,Harmontry,Earth
126,0136_01,False,G/23/S,PSO J318.5-22,47,False,0.0,0.0,0.0,0.0,0.0,,False,136,1,721.0,G,23,S,,,Earth
127,0138_01,True,G/18/P,TRAPPIST-1e,13,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,True,138,1,0.0,G,18,P,Fayene,Gambs,Earth
128,0138_02,False,E/5/P,TRAPPIST-1e,34,False,0.0,0.0,0.0,0.0,0.0,Monah Gambs,False,138,2,793.0,E,5,P,Monah,Gambs,Earth
129,0139_01,True,C/6/S,55 Cancri e,35,False,0.0,0.0,0.0,0.0,0.0,Charda Myling,True,139,1,0.0,C,6,S,Charda,Myling,Europa
130,0140_01,True,G/19/P,TRAPPIST-1e,24,False,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,True,140,1,0.0,G,19,P,Evaley,Mejiaddox,Earth
131,0140_02,False,F/29/P,TRAPPIST-1e,26,False,0.0,0.0,0.0,0.0,0.0,Verney Whitakers,False,140,2,902.0,F,29,P,Verney,Whitakers,Earth
132,0141_01,False,F/30/P,TRAPPIST-1e,31,False,0.0,0.0,0.0,0.0,0.0,Pyrohs Harte,False,141,1,97.0,F,30,P,Pyrohs,Harte,Mars
133,0144_01,False,F/31/S,TRAPPIST-1e,20,False,0.0,0.0,0.0,0.0,0.0,Guadae Dayers,True,144,1,630.0,F,31,S,Guadae,Dayers,Earth
134,0146_01,False,G/25/S,TRAPPIST-1e,56,False,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,False,146,1,0.0,G,25,S,Verly,Wolferguson,Earth
135,0147_01,True,G/26/S,TRAPPIST-1e,50,False,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,True,147,1,0.0,G,26,S,Samie,Hubbarrison,Earth
136,0148_01,False,F/31/P,TRAPPIST-1e,42,False,0.0,0.0,0.0,0.0,0.0,Corsh Pashe,False,148,1,1158.0,F,31,P,Corsh,Pashe,Mars
137,0149_01,True,G/27/S,55 Cancri e,27,False,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,True,149,1,0.0,G,27,S,Billya,Hubbarrison,Earth
138,0151_01,True,G/20/P,55 Cancri e,38,False,0.0,0.0,0.0,0.0,0.0,Shanie Simson,False,151,1,0.0,G,20,P,Shanie,Simson,Earth
139,0152_01,False,F/32/P,TRAPPIST-1e,41,False,0.0,0.0,0.0,0.0,0.0,Andan Estron,False,152,1,607.0,F,32,P,Andan,Estron,Earth
140,0160_01,False,G/22/P,TRAPPIST-1e,22,False,0.0,0.0,0.0,0.0,0.0,Gory Atkinney,False,160,1,4180.0,G,22,P,Gory,Atkinney,Earth
141,0163_01,True,B/8/P,TRAPPIST-1e,26,False,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,True,163,1,0.0,B,8,P,Kabiton,Hetforhaft,Europa
142,0163_02,True,B/8/P,TRAPPIST-1e,17,False,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,True,163,2,0.0,B,8,P,Scharab,Hetforhaft,Europa
143,0164_01,False,G/28/S,TRAPPIST-1e,57,False,0.0,0.0,0.0,0.0,0.0,Fany Hutchinton,True,164,1,1873.0,G,28,S,Fany,Hutchinton,Earth
144,0164_02,True,G/28/S,PSO J318.5-22,17,False,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,False,164,2,0.0,G,28,S,Ianya,Hutchinton,Earth
145,0165_01,True,F/37/P,TRAPPIST-1e,35,False,0.0,0.0,0.0,0.0,0.0,Graven Anche,True,165,1,0.0,F,37,P,Graven,Anche,Mars
146,0167_01,True,F/35/S,TRAPPIST-1e,13,False,0.0,0.0,0.0,0.0,0.0,Miten Floaf,True,167,1,0.0,F,35,S,Miten,Floaf,Mars
147,0167_02,False,F/35/S,TRAPPIST-1e,27,False,0.0,0.0,0.0,0.0,0.0,Rios Floaf,False,167,2,1572.0,F,35,S,Rios,Floaf,Mars
148,0169_01,True,G/23/P,TRAPPIST-1e,31,False,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,False,169,1,0.0,G,23,P,Wandy,Fisherry,Earth
149,0170_01,False,E/10/S,TRAPPIST-1e,24,False,0.0,0.0,0.0,0.0,0.0,Mollie Mcmahoney,False,170,1,788.0,E,10,S,Mollie,Mcmahoney,Earth
150,0171_01,True,G/30/S,PSO J318.5-22,19,False,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,True,171,1,0.0,G,30,S,Coracy,Gordanieves,Earth
151,0172_01,True,G/24/P,TRAPPIST-1e,32,False,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,True,172,1,0.0,G,24,P,Hanna,Johnshines,Earth
152,0173_01,False,E/11/S,TRAPPIST-1e,58,False,0.0,0.0,0.0,0.0,0.0,Hilip Grifford,True,173,1,990.0,E,11,S,Hilip,Grifford,Earth
153,0174_01,False,F/38/P,55 Cancri e,21,False,0.0,0.0,0.0,0.0,0.0,Doryn Lambles,False,174,1,593.0,F,38,P,Doryn,Lambles,Earth
154,0177_01,False,B/2/S,TRAPPIST-1e,38,False,0.0,0.0,0.0,0.0,0.0,Toperon Iniouser,False,177,1,27428.0,B,2,S,Toperon,Iniouser,Europa
